holeCards,commCards,Key,Value
"['D3', 'D9']","['S9', 'S7', 'C6']",2000_93_2210_99763,0.586
"['D3', 'D9']","['S9', 'S7', 'C4']",2000_93_2210_99743,0.721
"['D3', 'D9']","['S9', 'S7', 'HT']",2000_93_2210_T9973,0.607
"['D3', 'D9']","['S9', 'S7', 'DA']",2000_93_3200_A9973,0.693
"['D3', 'D9']","['S9', 'S7', 'D7']",2000_93_3200_99773,0.683
"['D3', 'D9']","['S9', 'S6', 'S5']",2000_93_3200_99653,0.566
"['D3', 'D9']","['S9', 'S6', 'S4']",2000_93_3200_99643,0.586
"['D3', 'D9']","['S9', 'S6', 'HJ']",2000_93_2210_J9963,0.63
"['D3', 'D9']","['S9', 'S6', 'HK']",2000_93_2210_K9963,0.651
"['D3', 'D9']","['S9', 'S6', 'DT']",2000_93_3200_T9963,0.617
"['D3', 'D9']","['S9', 'S6', 'HA']",2000_93_2210_A9963,0.636
"['D3', 'D9']","['S9', 'S6', 'DQ']",2000_93_3200_Q9963,0.677
"['D3', 'D9']","['S9', 'S6', 'C9']",2000_93_2210_99963,0.917
"['D3', 'D9']","['S9', 'S6', 'H5']",2000_93_2210_99653,0.677
"['D3', 'D9']","['S9', 'S6', 'C6']",2000_93_2210_99663,0.656
"['D3', 'D9']","['S9', 'S6', 'C4']",2000_93_2210_99643,0.713
"['D3', 'D9']","['S9', 'S6', 'HT']",2000_93_2210_T9963,0.612
"['D3', 'D9']","['S9', 'S6', 'DA']",2000_93_3200_A9963,0.673
"['D3', 'D9']","['S9', 'S6', 'D6']",2000_93_3200_99663,0.686
"['D3', 'D9']","['S9', 'S5', 'S4']",2000_93_3200_99543,0.616
"['D3', 'D9']","['S9', 'S5', 'HJ']",2000_93_2210_J9953,0.649
"['D3', 'D9']","['S9', 'S5', 'HK']",2000_93_2210_K9953,0.679
"['D3', 'D9']","['S9', 'S5', 'DT']",2000_93_3200_T9953,0.685
"['D3', 'D9']","['S9', 'S5', 'HA']",2000_93_2210_A9953,0.665
