holeCards,commCards,Key,Value
"['D4', 'D5']","['S9', 'S7', 'C6']",2000_54_2210_97654,0.348
"['D4', 'D5']","['S9', 'S7', 'C4']",2000_54_2210_97544,0.526
"['D4', 'D5']","['S9', 'S7', 'HT']",2000_54_2210_T9754,0.158
"['D4', 'D5']","['S9', 'S7', 'DA']",2000_54_3200_A9754,0.236
"['D4', 'D5']","['S9', 'S7', 'D9']",2000_54_3200_99754,0.223
"['D4', 'D5']","['S9', 'S7', 'D7']",2000_54_3200_97754,0.223
"['D4', 'D5']","['S9', 'S6', 'S5']",2000_54_3200_96554,0.434
"['D4', 'D5']","['S9', 'S6', 'S4']",2000_54_3200_96544,0.48
"['D4', 'D5']","['S9', 'S6', 'HJ']",2000_54_2210_J9654,0.213
"['D4', 'D5']","['S9', 'S6', 'HK']",2000_54_2210_K9654,0.185
"['D4', 'D5']","['S9', 'S6', 'DT']",2000_54_3200_T9654,0.213
"['D4', 'D5']","['S9', 'S6', 'HA']",2000_54_2210_A9654,0.188
"['D4', 'D5']","['S9', 'S6', 'DQ']",2000_54_3200_Q9654,0.237
"['D4', 'D5']","['S9', 'S6', 'C9']",2000_54_2210_99654,0.212
"['D4', 'D5']","['S9', 'S6', 'H5']",2000_54_2210_96554,0.519
"['D4', 'D5']","['S9', 'S6', 'C6']",2000_54_2210_96654,0.197
"['D4', 'D5']","['S9', 'S6', 'C4']",2000_54_2210_96544,0.558
"['D4', 'D5']","['S9', 'S6', 'HT']",2000_54_2210_T9654,0.167
"['D4', 'D5']","['S9', 'S6', 'DA']",2000_54_3200_A9654,0.233
"['D4', 'D5']","['S9', 'S6', 'D9']",2000_54_3200_99654,0.262
"['D4', 'D5']","['S9', 'S6', 'D6']",2000_54_3200_96654,0.239
"['D4', 'D5']","['S9', 'S5', 'S4']",2000_54_3200_95544,0.712
"['D4', 'D5']","['S9', 'S5', 'HJ']",2000_54_2210_J9554,0.547
"['D4', 'D5']","['S9', 'S5', 'HK']",2000_54_2210_K9554,0.564
"['D4', 'D5']","['S9', 'S5', 'DT']",2000_54_3200_T9554,0.537
"['D4', 'D5']","['S9', 'S5', 'HA']",2000_54_2210_A9554,0.572
"['D4', 'D5']","['S9', 'S5', 'DQ']",2000_54_3200_Q9554,0.575
"['D4', 'D5']","['S9', 'S5', 'C9']",2000_54_2210_99554,0.607
"['D4', 'D5']","['S9', 'S5', 'H5']",2000_54_2210_95554,0.895
"['D4', 'D5']","['S9', 'S5', 'C4']",2000_54_2210_95544,0.828
"['D4', 'D5']","['S9', 'S5', 'HT']",2000_54_2210_T9554,0.532
"['D4', 'D5']","['S9', 'S5', 'DA']",2000_54_3200_A9554,0.607
"['D4', 'D5']","['S9', 'S5', 'D9']",2000_54_3200_99554,0.64
"['D4', 'D5']","['S9', 'S4', 'HJ']",2000_54_2210_J9544,0.545
"['D4', 'D5']","['S9', 'S4', 'HK']",2000_54_2210_K9544,0.549
