holeCards,commCards,Key,Value
"['D2', 'C3']","['DQ', 'D7', 'D3']",1100_32_4100_Q7332,0.593
"['D2', 'C3']","['DQ', 'D5', 'D3']",1100_32_4100_Q5332,0.556
"['D2', 'C3']","['C9', 'C8', 'C2']",1100_32_4100_98322,0.524
"['D2', 'C3']","['C9', 'C8', 'C7']",1100_32_4100_98732,0.27
"['D2', 'C3']","['C9', 'C8', 'C6']",1100_32_4100_98632,0.289
"['D2', 'C3']","['C9', 'C8', 'C5']",1100_32_4100_98532,0.283
"['D2', 'C3']","['C9', 'C8', 'C4']",1100_32_4100_98432,0.287
"['D2', 'C3']","['C9', 'C8', 'CA']",1100_32_4100_A9832,0.271
"['D2', 'C3']","['C9', 'C8', 'DA']",1100_32_3200_A9832,0.14
"['D2', 'C3']","['C9', 'C8', 'D4']",1100_32_3200_98432,0.146
"['D2', 'C3']","['C9', 'C8', 'D8']",1100_32_3200_98832,0.144
"['D2', 'C3']","['C9', 'C8', 'D9']",1100_32_3200_99832,0.154
"['D2', 'C3']","['C9', 'C8', 'D6']",1100_32_3200_98632,0.139
"['D2', 'C3']","['C9', 'C8', 'D7']",1100_32_3200_98732,0.151
"['D2', 'C3']","['C9', 'C8', 'D5']",1100_32_3200_98532,0.12
"['D2', 'C3']","['C9', 'C8', 'D3']",1100_32_3200_98332,0.518
"['D2', 'C3']","['C9', 'C2', 'C7']",1100_32_4100_97322,0.556
"['D2', 'C3']","['C9', 'C2', 'C6']",1100_32_4100_96322,0.558
"['D2', 'C3']","['C9', 'C2', 'C5']",1100_32_4100_95322,0.544
"['D2', 'C3']","['C9', 'C2', 'C4']",1100_32_4100_94322,0.566
"['D2', 'C3']","['C9', 'C2', 'CK']",1100_32_4100_K9322,0.577
"['D2', 'C3']","['C9', 'C2', 'CJ']",1100_32_4100_J9322,0.554
"['D2', 'C3']","['C9', 'C2', 'CA']",1100_32_4100_A9322,0.558
"['D2', 'C3']","['C9', 'C2', 'CQ']",1100_32_4100_Q9322,0.557
"['D2', 'C3']","['C9', 'C2', 'DA']",1100_32_3200_A9322,0.546
"['D2', 'C3']","['C9', 'C2', 'D4']",1100_32_3200_94322,0.547
"['D2', 'C3']","['C9', 'C2', 'CT']",1100_32_4100_T9322,0.53
"['D2', 'C3']","['C9', 'C2', 'D8']",1100_32_3200_98322,0.505
"['D2', 'C3']","['C9', 'C2', 'D9']",1100_32_3200_99322,0.556
"['D2', 'C3']","['C9', 'C2', 'D6']",1100_32_3200_96322,0.525
"['D2', 'C3']","['C9', 'C2', 'D7']",1100_32_3200_97322,0.562
"['D2', 'C3']","['C9', 'C2', 'D5']",1100_32_3200_95322,0.557
"['D2', 'C3']","['C9', 'C2', 'D3']",1100_32_3200_93322,0.836
"['D2', 'C3']","['C9', 'C7', 'C6']",1100_32_4100_97632,0.296
"['D2', 'C3']","['C9', 'C7', 'C5']",1100_32_4100_97532,0.286
"['D2', 'C3']","['C9', 'C7', 'C4']",1100_32_4100_97432,0.308
"['D2', 'C3']","['C9', 'C7', 'CA']",1100_32_4100_A9732,0.291
"['D2', 'C3']","['C9', 'C7', 'DA']",1100_32_3200_A9732,0.148
